Punto_gps prod_impr tamaño detalle color lote
1353 p m ok 3 5
1354 p m ok 3 5
1355 p m ok 3 5
1356 p m ok 3 5
1357 p g ok 3 5
1358 p g ok 3 5
1359 p g ok 3 5
1360 np v er 0 5
1361 np p r1 3 5
1362 np v er 0 5
1363 p m am 2 5
1364 p m ok 3 5
1365 p m ok 3 5
1366 p m ok 3 5
1367 p m ok 3 5
1368 p p ok 3 5
1369 p m ok 3 5
1370 p m ok 3 5
1371 p m ok 3 5
1372 p m ok 3 5
1373 p m ok 3 5
1374 np m ok 3 5
1375 np m ok 3 5
1376 p g ok 3 5
1377 p g ok 3 5
1378 p g ok 3 5
1379 p g ok 3 5
1380 np p ok 3 5
1381 np p ok 3 5
1382 p m ok 3 5
1383 p g ok 3 5
1384 p m am 2 5
1385 p m ok 3 5
1386 p g ok 3 5
1387 p g ok 3 5
1388 p g ok 3 5
1389 p g ok 3 5
1390 np v er 0 5
1391 p m ok 3 5
1392 p m ok 3 5
1393 np p z0.5 3 5
1394 p m ok 3 5
1395 np p ok 3 5
1396 np m ok 3 5
1397 np m ok 3 5
1398 p m am 2 5
1399 np p ok 3 5
1400 p g ok 3 5
1401 p g ok 3 5
1402 p g ok 3 5
1403 p g ok 3 5
1404 np p r1 3 5
1405 p g am 2 5
1406 p g am 2 5
1407 p g ok 3 5
1408 p g am 2 5
1409 p g ok 3 5
1410 p m ok 3 5
1411 p m ok 3 5
1412 np g ok 3 5
1413 p g ok 3 5
1414 p g ok 3 5
1415 np p r1 3 5
1416 p m ok 3 5
1417 np p r1 3 5
1418 np v er 0 5
1419 p m am 2 5
1420 p m am 2 5
1421 p g am 2 5
1422 np p ok 3 5
1423 np v er 0 5
1424 np p r1 3 5
1425 p g ok 3 5
1426 p p am 2 5
1427 p m ok 3 5
1428 p m am 2 5
1429 np m am 2 5
1430 np v er 0 5
1431 np p am 2 5
1432 np p ok 3 5
1433 p m am 2 5
1434 p g ok 3 5
1435 p m am 2 5
1436 np v er 0 5
1437 np v er 0 5
1438 np v er 0 5
1439 p g ok 3 5
1440 p g ok 3 5
1441 p g ok 3 5
1442 np p z0.5 3 5
1443 p m ok 3 5
1444 np v er 0 5
1445 p m am 2 5
1446 p m ok 3 5
1447 p g ok 3 5
1448 p g ok 3 5
1449 p m am 2 5
1450 p g ok 3 5
1451 np p r1 3 5
1452 p m ok 3 5
1453 np v er 0 5
1454 p g ok 3 5
1455 p g am 2 5
1456 p g ok 3 5
1457 p m am 2 5
1458 p m ok 3 5
1459 np v er 0 5
1460 p m ok 3 5
1461 np v er 0 5
1462 np v er 0 5
1463 np p r1 3 5
1464 np p am 2 5
1465 p g ok 3 5
1466 np m rc 3 5
1467 np p r1 2 5
1468 p g ok 3 5
1469 np v er 0 5
1470 g p ok 3 5
1471 p p am 2 5
1472 p g am 2 5
1473 np v er 0 5
1474 np p ok 3 5
1475 p p am 2 5
1476 np p am 2 5
1477 np p am 2 5
1478 p g ok 3 5
1479 np v er 0 5
1480 np m am 2 5
1481 p g ok 3 5
1482 p g am 2 5
1483 np g ok 3 5
1484 np p r1 3 5
1485 np v er 0 5
1486 p g ok 3 5
1487 np m am 2 5
1488 p p ok 3 5
1489 np v er 0 5
1490 np v er 0 5
1491 np v er 0 5
1492 p p am 2 5
1493 p m ok 3 5
1494 p g ok 3 5
1495 p m ok 3 5
1496 p g am 2 5
1497 np v er 0 5
